Team,Need 1,Need 2,Need 3,Need 4,Need 5
TEN,QB,Edge,WR,LB,S
CLE,QB,OL,Edge,RB,S
NYG,QB,OL,LB,CB,DL
NE,OL,DL,WR,RB,TE
JAX,DL,CB,S,OL,WR
LV,RB,WR,CB,OL,LB
NYJ,OL,WR,TE,S,DL
CAR,Edge,S,CB,WR,DL
NO,CB,OL,WR,DL,QB
CHI,OL,Edge,RB,S,TE
SF,DL,Edge,OL,RB,CB
DAL,WR,RB,CB,LB,DL
MIA,OL,DL,S,CB,TE
IND,TE,OL,LB,Edge,RB
ATL,Edge,DL,CB,OL,S
ARI,OL,WR,Edge,DL,CB
CIN,Edge,S,LB,OL,CB
SEA,OL,WR,CB,S,DL
TB,LB,CB,Edge,S,OL
DEN,RB,WR,CB,TE,DL
PIT,QB,RB,DL,WR,OL
LAC,TE,WR,DL,RB,Edge
GB,CB,WR,Edge,DL,OL
MIN,CB,OL,S,LB,DL
HOU,OL,WR,DL,S,CB
LAR,LB,CB,OL,TE,WR
BAL,OL,CB,S,DL,Edge
DET,Edge,OL,S,DL,WR
WAS,Edge,CB,WR,S,OL
BUF,CB,DL,WR,Edge,S
KC,DL,OL,Edge,S,WR
PHI,S,DL,CB,Edge,OL
